# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​),Dynamic Pressure (mbar)
5.971,970.511,218.094,22.748,36.966,0.011,36.966,0.02,2.928e4,6362,14.905,0.299,230.982,205.813,379.756,0.441,8.692,902.04,0.648,265.213
6.021,981.377,216.961,22.589,37.455,0.011,37.455,0.036,2.928e4,6362,14.905,0.299,230.919,205.813,374.876,0.441,8.621,900.826,0.645,262.177
6.071,992.186,215.835,22.428,37.943,0.012,37.943,0.05,2.928e4,6362,14.905,0.299,230.859,205.813,370.094,0.44,8.551,899.619,0.642,259.181
6.121,1002.938,214.718,22.266,38.43,0.012,38.43,0.038,2.928e4,6362,14.905,0.299,230.838,205.813,365.399,0.439,8.481,898.433,0.639,256.231
6.171,1013.636,213.609,22.106,38.915,0.012,38.915,0.026,2.928e4,6362,14.905,0.299,230.818,205.813,360.783,0.439,8.411,897.295,0.635,253.332
6.221,1024.277,212.508,21.948,39.399,0.012,39.399,0.003,2.928e4,6362,14.905,0.299,230.813,205.813,356.245,0.438,8.342,896.163,0.632,250.472
6.271,1034.864,211.415,21.792,39.882,0.013,39.882,0.036,2.928e4,6362,14.905,0.299,230.73,205.813,351.786,0.438,8.273,895.037,0.629,247.651
6.321,1045.397,210.329,21.641,40.362,0.013,40.362,0.062,2.928e4,6362,14.905,0.299,230.656,205.813,347.402,0.437,8.205,893.917,0.626,244.866
6.371,1055.876,209.251,21.493,40.839,0.013,40.839,0.066,2.928e4,6362,14.905,0.299,230.616,205.813,343.083,0.437,8.137,892.802,0.623,242.118
6.421,1066.301,208.18,21.35,41.315,0.014,41.315,0.015,2.928e4,6362,14.905,0.299,230.654,205.813,338.799,0.436,8.069,891.693,0.62,239.406
6.471,1076.672,207.116,21.214,41.788,0.014,41.788,0.04,2.928e4,6362,14.905,0.299,230.585,205.813,334.584,0.435,8.002,890.59,0.616,236.729
6.521,1086.991,206.059,21.078,42.26,0.014,42.26,0.073,2.928e4,6362,14.905,0.299,230.504,205.813,330.438,0.435,7.935,889.492,0.613,234.086
6.571,1097.257,205.009,20.941,42.732,0.014,42.732,0.087,2.928e4,6362,14.905,0.299,230.45,205.813,326.348,0.434,7.868,888.4,0.61,231.477
6.621,1107.47,203.966,20.794,43.202,0.015,43.202,0.032,2.928e4,6362,14.905,0.299,230.496,205.813,322.339,0.434,7.801,887.314,0.607,228.902
6.671,1117.632,202.93,20.652,43.672,0.015,43.672,0.035,2.928e4,6362,14.905,0.299,230.46,205.813,318.401,0.433,7.735,886.233,0.604,226.36
6.721,1127.741,201.901,20.517,44.139,0.015,44.139,0.059,2.928e4,6362,14.905,0.299,230.395,205.813,314.502,0.433,7.67,885.158,0.601,223.85
6.771,1137.8,200.878,20.386,44.605,0.015,44.605,0.076,2.928e4,6362,14.905,0.299,230.34,205.813,310.668,0.432,7.604,884.088,0.598,221.372
6.821,1147.808,199.862,20.257,45.068,0.016,45.068,0.048,2.928e4,6362,14.905,0.299,230.349,205.813,306.87,0.432,7.539,883.023,0.595,218.925
6.871,1157.765,198.852,20.132,45.529,0.016,45.529,0.014,2.928e4,6362,14.905,0.299,230.368,205.813,303.131,0.431,7.475,881.964,0.592,216.508
6.921,1167.672,197.849,20.008,45.988,0.016,45.988,0.006,2.928e4,6362,14.905,0.299,230.35,205.813,299.468,0.431,7.41,880.91,0.59,214.122
6.971,1177.529,196.852,19.89,46.446,0.017,46.446,0.039,2.928e4,6362,14.905,0.299,230.275,205.813,295.835,0.43,7.346,879.862,0.587,211.765
7.021,1187.336,195.861,19.771,46.902,0.017,46.902,0.062,2.928e4,6362,14.905,0.299,230.214,205.813,292.258,0.43,7.282,878.819,0.584,209.437
7.071,1197.094,194.875,19.646,47.358,0.017,47.358,0.027,2.928e4,6362,14.905,0.299,230.236,205.813,288.754,0.429,7.219,877.781,0.581,207.137
7.121,1206.802,193.896,19.525,47.813,0.018,47.813,0.008,2.928e4,6362,14.905,0.299,230.237,205.813,285.288,0.429,7.156,876.748,0.578,204.866
7.171,1216.462,192.923,19.409,48.266,0.018,48.266,0.016,2.928e4,6362,14.905,0.299,230.199,205.813,281.852,0.429,7.093,875.72,0.575,202.623
7.221,1226.074,191.956,19.296,48.718,0.018,48.718,0.039,2.928e4,6362,14.905,0.299,230.14,205.813,278.453,0.428,7.031,874.698,0.572,200.406
7.271,1235.637,190.994,19.183,49.169,0.018,49.169,0.048,2.928e4,6362,14.905,0.299,230.1,205.813,275.102,0.428,6.968,873.681,0.57,198.217
7.321,1245.152,190.038,19.066,49.618,0.019,49.618,0.014,2.928e4,6362,14.905,0.299,230.123,205.813,271.813,0.427,6.907,872.669,0.567,196.053
7.371,1254.619,189.088,18.951,50.067,0.019,50.067,0.025,2.928e4,6362,14.905,0.299,230.084,205.813,268.573,0.427,6.845,871.661,0.564,193.916
7.421,1264.039,188.143,18.84,50.514,0.019,50.514,0.061,2.928e4,6362,14.905,0.299,230.008,205.813,265.384,0.426,6.784,870.659,0.561,191.805
7.471,1273.413,187.204,18.731,50.96,0.02,50.96,0.108,2.928e4,6362,14.905,0.299,229.917,205.813,262.259,0.426,6.723,869.662,0.558,189.718
7.521,1282.739,186.27,18.625,51.402,0.02,51.402,0.091,2.928e4,6362,14.905,0.299,229.918,205.813,259.146,0.425,6.662,868.67,0.556,187.656
7.571,1292.019,185.342,18.522,51.843,0.02,51.843,0.073,2.928e4,6362,14.905,0.299,229.921,205.813,256.087,0.425,6.602,867.683,0.553,185.619
7.621,1301.252,184.418,18.42,52.282,0.021,52.282,0.047,2.928e4,6362,14.905,0.299,229.936,205.813,253.074,0.425,6.542,866.701,0.55,183.605
7.671,1310.44,183.5,18.325,52.719,0.021,52.719,0.023,2.928e4,6362,14.905,0.299,229.948,205.813,250.083,0.424,6.482,865.724,0.548,181.614
7.721,1319.582,182.586,18.231,53.155,0.021,53.155,0.07,2.928e4,6362,14.905,0.299,229.859,205.813,247.144,0.424,6.423,864.751,0.545,179.647
7.771,1328.678,181.677,18.138,53.59,0.022,53.59,0.103,2.928e4,6362,14.905,0.299,229.791,205.813,244.242,0.423,6.364,863.784,0.542,177.702
7.821,1337.728,180.774,18.039,54.025,0.022,54.025,0.102,2.928e4,6362,14.905,0.299,229.772,205.813,241.378,0.423,6.305,862.821,0.54,175.779
7.871,1346.734,179.875,17.934,54.459,0.022,54.459,0.048,2.928e4,6362,14.905,0.299,229.828,205.813,238.561,0.423,6.246,861.863,0.537,173.879
7.921,1355.695,178.981,17.832,54.893,0.022,54.893,0.012,2.928e4,6362,14.905,0.299,229.861,205.813,235.786,0.422,6.188,860.91,0.535,172.001
7.971,1364.611,178.092,17.738,55.325,0.023,55.325,0.004,2.928e4,6362,14.905,0.299,229.852,205.813,233.013,0.422,6.13,859.961,0.532,170.144
8.021,1373.483,177.208,17.645,55.756,0.023,55.756,0.003,2.928e4,6362,14.905,0.299,229.835,205.813,230.279,0.421,6.072,859.018,0.529,168.308
8.071,1382.311,176.328,17.554,56.186,0.023,56.186,0.011,2.928e4,6362,14.905,0.299,229.804,205.813,227.575,0.421,6.015,858.079,0.527,166.493
8.121,1391.095,175.453,17.462,56.614,0.024,56.614,0.003,2.928e4,6362,14.905,0.299,229.797,205.813,224.915,0.421,5.958,857.144,0.524,164.698
8.171,1399.836,174.582,17.368,57.041,0.024,57.041,0.058,2.928e4,6362,14.905,0.299,229.7,205.813,222.32,0.42,5.901,856.215,0.522,162.924
8.221,1408.533,173.716,17.279,57.467,0.024,57.467,0.077,2.928e4,6362,14.905,0.299,229.655,205.813,219.743,0.42,5.845,855.289,0.519,161.17
8.271,1417.187,172.854,17.193,57.891,0.025,57.891,0.051,2.928e4,6362,14.905,0.299,229.676,205.813,217.18,0.42,5.788,854.369,0.517,159.435
8.321,1425.798,171.997,17.11,58.313,0.025,58.313,0.017,2.928e4,6362,14.905,0.299,229.708,205.813,214.651,0.419,5.732,853.453,0.514,157.72
8.371,1434.366,171.143,17.028,58.734,0.025,58.734,0.015,2.928e4,6362,14.905,0.299,229.695,205.813,212.157,0.419,5.677,852.542,0.512,156.023
8.421,1442.891,170.294,16.948,59.154,0.025,59.154,0.051,2.928e4,6362,14.905,0.299,229.626,205.813,209.691,0.418,5.621,851.635,0.509,154.345
8.471,1451.375,169.449,16.866,59.573,0.026,59.573,0.056,2.928e4,6362,14.905,0.299,229.604,205.813,207.264,0.418,5.566,850.732,0.507,152.686
8.521,1459.816,168.609,16.781,59.991,0.026,59.991,0.027,2.928e4,6362,14.905,0.299,229.631,205.813,204.877,0.418,5.511,849.834,0.504,151.045
8.571,1468.215,167.772,16.698,60.409,0.026,60.409,0.015,2.928e4,6362,14.905,0.299,229.633,205.813,202.51,0.417,5.457,848.941,0.502,149.421
8.621,1476.572,166.939,16.619,60.825,0.027,60.825,0.02,2.928e4,6362,14.905,0.299,229.611,205.813,200.164,0.417,5.402,848.052,0.499,147.816
8.671,1484.888,166.111,16.539,61.241,0.027,61.241,0.01,2.928e4,6362,14.905,0.299,229.611,205.813,197.851,0.417,5.348,847.167,0.497,146.228
8.721,1493.163,165.286,16.457,61.655,0.027,61.655,0.032,2.928e4,6362,14.905,0.299,229.565,205.813,195.581,0.416,5.294,846.287,0.494,144.657
8.771,1501.396,164.465,16.38,62.068,0.028,62.068,0.038,2.928e4,6362,14.905,0.299,229.542,205.813,193.328,0.416,5.241,845.419,0.492,143.104
8.821,1509.588,163.648,16.304,62.48,0.028,62.48,0.045,2.928e4,6362,14.905,0.299,229.519,205.813,191.113,0.416,5.188,844.59,0.49,141.574
8.871,1517.74,162.835,16.229,62.891,0.028,62.891,0.046,2.928e4,6362,14.905,0.299,229.503,205.813,188.926,0.415,5.135,843.764,0.487,140.06
8.921,1525.851,162.025,16.156,63.3,0.028,63.3,0.026,2.928e4,6362,14.905,0.299,229.517,205.813,186.758,0.415,5.082,842.943,0.485,138.563
8.971,1533.922,161.22,16.083,63.707,0.029,63.707,0.037,2.928e4,6362,14.905,0.299,229.489,205.813,184.633,0.415,5.03,842.127,0.483,137.081
9.021,1541.953,160.417,16.012,64.114,0.029,64.114,0.025,2.928e4,6362,14.905,0.299,229.492,205.813,182.526,0.414,4.977,841.314,0.48,135.614
9.071,1549.943,159.619,15.943,64.519,0.029,64.519,0.007,2.928e4,6362,14.905,0.299,229.506,205.813,180.436,0.414,4.925,840.505,0.478,134.163
9.121,1557.894,158.824,15.875,64.924,0.03,64.924,0.027,2.928e4,6362,14.905,0.299,229.464,205.813,178.375,0.414,4.874,839.7,0.476,132.727
9.171,1565.805,158.032,15.807,65.327,0.03,65.327,0.038,2.928e4,6362,14.905,0.299,229.435,205.813,176.34,0.414,4.822,838.899,0.473,131.306
9.221,1573.677,157.244,15.737,65.73,0.03,65.73,0.029,2.928e4,6362,14.905,0.299,229.436,205.813,174.334,0.413,4.771,838.103,0.471,129.9
9.271,1581.509,156.459,15.672,66.131,0.03,66.131,0.052,2.928e4,6362,14.905,0.299,229.39,205.813,172.337,0.413,4.72,837.31,0.469,128.509
9.321,1589.302,155.677,15.607,66.532,0.031,66.533,0.071,2.928e4,6362,14.905,0.299,229.349,205.813,170.36,0.413,4.67,836.521,0.466,127.132
9.371,1597.056,154.899,15.539,66.933,0.031,66.933,0.064,2.928e4,6362,14.905,0.299,229.346,205.813,168.411,0.412,4.619,835.736,0.464,125.769
9.421,1604.771,154.124,15.473,67.333,0.031,67.333,0.063,2.928e4,6362,14.905,0.299,229.335,205.813,166.478,0.412,4.569,834.955,0.462,124.42
9.471,1612.448,153.353,15.404,67.732,0.032,67.732,0.034,2.928e4,6362,14.905,0.299,229.365,205.813,164.573,0.412,4.519,834.178,0.459,123.085
9.521,1620.086,152.585,15.337,68.131,0.032,68.131,0.007,2.928e4,6362,14.905,0.299,229.393,205.813,162.689,0.411,4.469,833.405,0.457,121.764
9.571,1627.686,151.82,15.27,68.528,0.032,68.528,0.028,2.928e4,6362,14.905,0.299,229.35,205.813,160.83,0.411,4.42,832.636,0.455,120.456
9.621,1635.247,151.058,15.206,68.925,0.033,68.925,0.05,2.928e4,6362,14.905,0.299,229.306,205.813,158.99,0.411,4.371,831.871,0.453,119.162
9.671,1642.771,150.3,15.144,69.32,0.033,69.32,0.051,2.928e4,6362,14.905,0.299,229.293,205.813,157.165,0.411,4.322,831.109,0.45,117.881
9.721,1650.257,149.544,15.082,69.714,0.033,69.714,0.049,2.928e4,6362,14.905,0.299,229.284,205.813,155.363,0.41,4.273,830.352,0.448,116.613
9.771,1657.705,148.792,15.021,70.107,0.034,70.107,0.056,2.928e4,6362,14.905,0.299,229.263,205.813,153.588,0.41,4.225,829.598,0.446,115.357
9.821,1665.115,148.042,14.961,70.499,0.034,70.499,0.063,2.928e4,6362,14.905,0.299,229.242,205.813,151.836,0.41,4.177,828.848,0.444,114.115
9.871,1672.488,147.296,14.902,70.889,0.034,70.889,0.054,2.928e4,6362,14.905,0.299,229.242,205.813,150.1,0.409,4.129,828.101,0.442,112.885
9.921,1679.824,146.552,14.845,71.278,0.035,71.278,0.042,2.928e4,6362,14.905,0.299,229.249,205.813,148.386,0.409,4.081,827.359,0.439,111.667
9.971,1687.123,145.812,14.787,71.666,0.035,71.666,0.043,2.928e4,6362,14.905,0.299,229.236,205.813,146.698,0.409,4.034,826.62,0.437,110.462
10.021,1694.385,145.074,14.731,72.053,0.035,72.053,0.026,2.928e4,6362,14.905,0.299,229.25,205.813,145.023,0.409,3.986,825.885,0.435,109.268
10.071,1701.61,144.339,14.677,72.439,0.036,72.439,0.009,2.928e4,6362,14.905,0.299,229.264,205.813,143.363,0.408,3.94,825.154,0.433,108.086
10.121,1708.798,143.607,14.626,72.825,0.036,72.825,0.056,2.928e4,6362,14.905,0.299,229.184,205.813,141.716,0.408,3.893,824.426,0.431,106.916
10.171,1715.95,142.878,14.573,73.209,0.036,73.209,0.08,2.928e4,6362,14.905,0.299,229.14,205.813,140.093,0.408,3.846,823.702,0.429,105.758
10.221,1723.065,142.151,14.518,73.593,0.037,73.593,0.079,2.928e4,6362,14.905,0.299,229.131,205.813,138.491,0.408,3.8,822.982,0.426,104.611
10.271,1730.144,141.427,14.46,73.977,0.037,73.977,0.045,2.928e4,6362,14.905,0.299,229.169,205.813,136.913,0.407,3.754,822.266,0.424,103.475
10.321,1737.187,140.706,14.405,74.36,0.037,74.36,0.025,2.928e4,6362,14.905,0.299,229.188,205.813,135.346,0.407,3.708,821.553,0.422,102.351
10.371,1744.194,139.987,14.351,74.743,0.038,74.743,0.018,2.928e4,6362,14.905,0.299,229.187,205.813,133.792,0.407,3.663,820.844,0.42,101.237
10.421,1751.165,139.272,14.295,75.124,0.038,75.124,0.023,2.928e4,6362,14.905,0.299,229.17,205.813,132.266,0.407,3.617,820.138,0.418,100.135
10.471,1758.1,138.558,14.239,75.505,0.038,75.505,0.097,2.928e4,6362,14.905,0.299,229.053,205.813,130.773,0.406,3.572,819.436,0.416,99.043
10.521,1765,137.848,14.186,75.884,0.039,75.884,0.119,2.928e4,6362,14.905,0.299,229.012,205.813,129.281,0.406,3.527,818.738,0.414,97.962
10.571,1771.864,137.14,14.138,76.262,0.039,76.262,0.079,2.928e4,6362,14.905,0.299,229.06,205.813,127.785,0.406,3.483,818.043,0.412,96.892
10.621,1778.693,136.434,14.094,76.639,0.039,76.639,0.005,2.928e4,6362,14.905,0.299,229.156,205.813,126.293,0.406,3.438,817.352,0.41,95.832
10.671,1785.487,135.731,14.047,77.015,0.04,77.015,0.037,2.928e4,6362,14.905,0.299,229.1,205.813,124.837,0.405,3.394,816.664,0.408,94.782
10.721,1792.246,135.031,14.002,77.39,0.04,77.39,0.077,2.928e4,6362,14.905,0.299,229.033,205.813,123.393,0.405,3.35,815.98,0.405,93.743
10.771,1798.969,134.333,13.954,77.765,0.04,77.765,0.084,2.928e4,6362,14.905,0.299,229.014,205.813,121.97,0.405,3.307,815.3,0.403,92.713
10.821,1805.658,133.637,13.909,78.14,0.041,78.14,0.115,2.928e4,6362,14.905,0.299,228.959,205.813,120.553,0.405,3.263,814.623,0.401,91.693
10.871,1812.312,132.943,13.861,78.514,0.041,78.514,0.114,2.928e4,6362,14.905,0.299,228.951,205.813,119.155,0.404,3.22,813.949,0.399,90.683
10.921,1818.931,132.252,13.81,78.888,0.041,78.888,0.079,2.928e4,6362,14.905,0.299,228.993,205.813,117.776,0.404,3.177,813.279,0.397,89.683
10.971,1825.516,131.564,13.757,79.261,0.042,79.261,0.008,2.928e4,6362,14.905,0.299,229.086,205.813,116.42,0.404,3.134,812.613,0.395,88.693
11.021,1832.067,130.877,13.706,79.634,0.042,79.634,0.058,2.928e4,6362,14.905,0.299,229.005,205.813,115.081,0.404,3.092,811.95,0.393,87.712
11.071,1838.583,130.194,13.659,80.006,0.042,80.006,0.073,2.928e4,6362,14.905,0.299,228.974,205.813,113.743,0.404,3.049,811.29,0.391,86.74
11.121,1845.065,129.512,13.613,80.377,0.043,80.377,0.09,2.928e4,6362,14.905,0.299,228.94,205.813,112.422,0.403,3.007,810.634,0.389,85.778
11.171,1851.513,128.833,13.566,80.746,0.043,80.746,0.129,2.928e4,6362,14.905,0.299,228.875,205.813,111.127,0.403,2.965,809.981,0.387,84.825
11.221,1857.927,128.156,13.522,81.114,0.043,81.114,0.12,2.928e4,6362,14.905,0.299,228.879,205.813,109.832,0.403,2.923,809.332,0.385,83.881
11.271,1864.307,127.481,13.48,81.482,0.044,81.482,0.088,2.928e4,6362,14.905,0.299,228.916,205.813,108.546,0.403,2.882,808.686,0.383,82.946
11.321,1870.654,126.808,13.442,81.848,0.044,81.848,0.021,2.928e4,6362,14.905,0.299,229.005,205.813,107.264,0.402,2.841,808.044,0.381,82.02
11.371,1876.967,126.137,13.4,82.213,0.044,82.213,0.008,2.928e4,6362,14.905,0.299,229.016,205.813,106.014,0.402,2.8,807.405,0.379,81.103
11.421,1883.247,125.469,13.36,82.577,0.045,82.577,0.018,2.928e4,6362,14.905,0.299,228.993,205.813,104.774,0.402,2.759,806.769,0.377,80.194
11.471,1889.493,124.802,13.321,82.941,0.045,82.941,0.061,2.928e4,6362,14.905,0.299,228.922,205.813,103.542,0.402,2.718,806.137,0.375,79.294
11.521,1895.706,124.138,13.281,83.305,0.045,83.305,0.073,2.928e4,6362,14.905,0.299,228.896,205.813,102.329,0.402,2.678,805.508,0.373,78.402
11.571,1901.885,123.476,13.24,83.668,0.046,83.668,0.074,2.928e4,6362,14.905,0.299,228.886,205.813,101.129,0.401,2.638,804.883,0.371,77.519
11.621,1908.032,122.815,13.201,84.03,0.046,84.03,0.089,2.928e4,6362,14.905,0.299,228.856,205.813,99.936,0.401,2.598,804.261,0.369,76.644
11.671,1914.145,122.157,13.158,84.392,0.046,84.392,0.065,2.928e4,6362,14.905,0.299,228.883,205.813,98.762,0.401,2.558,803.642,0.367,75.777
